Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,ProductionSchedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4
74496-1,,BALA,Regular,FALSE,74496,Regular,1,4,0,1520,N,SLWLED-SL 100/0-1000-80-40-NO-4-AP-UNV-DP-1,17/10/2018,15.656,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,C - Small,12,4,4,,,Picked - Complete,NO,Machine Shop Started,Material+Cartridge,,,1,1,Partial Order,0,FALSE,0,- ,0.260933333,0:14:15,3.914,380,4,15.66,1520.00,,- ,- ,Machine Shop Finished,,0,4,
74325-1,,BALA,Regular,FALSE,74325,High Priority,1,2,0,1440,A-8',"SP00000-TB2DILED-1100-1000-90-TW2750-SL-0.25G-95 3/4""-AP-120-O(LT)-1-CT15(36"")-C(CSI: PSQ02UWN-5ABLK)",17/10/2018,20.482,Machine Shop Started,"ON-SITE DATE 10/25 - going to San Diego CA 92121
Cannot miss schedule date!!!

COLOR TUNING",Picked - Complete,10/11/2018,,FALSE,,A - Regular,12,2,8,,Picked - Complete,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,1,1,Partial Order,0,FALSE,0,- ,0.341366667,0:18:38,10.241,720,2,20.48,1440.00,,- ,- ,Machine Shop Started,,0,2,
74325-3,,BALA,Regular,FALSE,74325,High Priority,3,9,0,6480,A-2'X2',SP00000-SKPLED-22-4000-80-TW2765-FL-W-UNV-O(LT)-1-TB15-C(CSI: PSQ02UWN-5ABLK),17/10/2018,19.809,Machine Shop Started,"ON-SITE DATE 10/25 - going to San Diego CA 92121
Cannot miss schedule date!!!

COLOR TUNING",Picked - Complete,11/10/2018,,FALSE,,A - Regular,12,9,9,,Picked - Complete,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,Others,FALSE,Others,- ,0.33015,0:18:02,2.201,720,9,19.81,6480.00,,- ,- ,Machine Shop Started,,0,9,
74315-2,,BALA,Regular,FALSE,74315,Priority,2,4,0,836.68,F1A,AULED-22-4000-80-35-SO-W-UNV-DP-1-TG9,17/10/2018,9.316,Scheduled/Released,,,,,FALSE,,A - Regular,12,4,4,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,2,,0,FALSE,0,- ,0.155266667,0:08:29,2.329,209.17,4,9.32,836.68,,- ,- ,Packaging Finished,,0,4,
74315-3,,BALA,Regular,FALSE,74315,Priority,3,10,0,3538,F1B,AULED-24-7000-80-35-SO-W-UNV-DP-1-TG9,17/10/2018,28.39,Scheduled/Released,,,,,FALSE,,A - Regular,12,10,20,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,2,,0,FALSE,0,- ,0.473166667,0:25:50,2.839,353.8,10,28.39,3538.00,,- ,- ,Packaging Finished,,0,10,
74301-1,,BALA,Regular,FALSE,74301,High Priority,1,1,0,1638.55,A,SCRPAT-OPI-90-300-80-35-FL-18-NL-W-347-D-1-DB,17/10/2018,15.86,Machine Shop Finished,,Picked - Complete,09/10/2018,,FALSE,,A - Regular,12,3,3,,Picked - Complete,Picked - Complete,NO,Machine Shop Finished - Incomplete,Material,,,1,#REF!,Complete,0,FALSE,0,- ,0.264333333,0:14:26,5.286666667,546.1833333,3,15.86,1638.55,,- ,- ,Machine Shop Finished,,0,3,
74301-2,,BALA,Regular,FALSE,74301,High Priority,2,1,0,4247,B,SCRPAT-OPR-90-300-80-35-FL-45-NL-W-347-D-1-DB,17/10/2018,29.2,Machine Shop Finished,,Picked - Complete,10/9/2018,,FALSE,,A - Regular,12,5,5,,Picked - Complete,Picked - Complete,NO,Machine Shop Finished - Incomplete,Material,,,0,#REF!,Complete,0,FALSE,0,- ,0.486666667,0:26:34,5.84,849.4,5,29.20,4247.00,,- ,- ,Machine Shop Finished,,0,5,
74766-1,,BALA,Regular,FALSE,74766,Regular,1,22,0,7480,A1-4',BBRLED-1000-90-40-FL-4-W-UNV-DP-1-TB15,25/10/2018,109.604,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,15,22,22,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,1.826733333,1:39:44,4.982,340,22,109.60,7480.00,,- ,- ,Scheduled/Released,,0,22,
74766-2,,BALA,Regular,FALSE,74766,Regular,2,4,0,4640,G-8',BBDILED-640-400-80-35-SO-8-W-UNV-DP-1-CA(36),25/10/2018,46.068,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,15,4,16,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.7678,0:41:55,11.517,1160,4,46.07,4640.00,,- ,- ,Scheduled/Released,,0,4,
74081-1,,BALA,Regular,FALSE,74081,Regular,1,9,0,2655,A-4',WB-F-4-T8-2-W-120-E-1-SA(18),17/10/2018,8.964,Machine Shop Started,,Picked - Complete,,,FALSE,,C - Small,12,9,9,,,,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,1,1,Partial Order,0,FALSE,0,- ,0.1494,0:08:09,0.996,295,9,8.96,2655.00,,- ,- ,Machine Shop Started,,0,9,
73718-1,,BALA,Regular,FALSE,73718,Priority,1,10,0,2400,B1,SCR-300-80-30-FL-4-W-120-DP-1-D,17/10/2018,30.67,Machine Shop Started,,Picked - Complete,,,FALSE,,C - Small,12,10,10,,,,NO,Machine Shop Started,MaterialHousing,,,1,1,Partial Order,0,FALSE,0,- ,0.511166667,0:27:55,3.067,240,10,30.67,2400.00,,- ,- ,Machine Shop Started,,0,10,
74761-1,,BALA,Regular,FALSE,74761,Regular,1,4,0,7196,L2,BBRLED-750-80-30-FL-20-W-UNV-DP-1-TG9,25/10/2018,78.148,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,4,8,20,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,1.302466667,1:11:07,9.7685,899.5,8,78.15,7196.00,,- ,- ,Scheduled/Released,,0,8,
74761-2,,BALA,Regular,FALSE,74761,Regular,2,3,0,4551.15,L3-16,BBRLED-500-80-30-FL-16-W-UNV-DP-1-TG9,25/10/2018,51.57,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,4,6,12,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.8595,0:46:56,8.595,758.525,6,51.57,4551.15,,- ,- ,Scheduled/Released,,0,6,
74761-3,,BALA,Regular,FALSE,74761,Regular,3,2,0,1465.2,L3-8,BBRLED-500-80-30-FL-8-W-UNV-DP-1-TG9,25/10/2018,16.542,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,4,2,4,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.2757,0:15:03,8.271,732.6,2,16.54,1465.20,,- ,- ,Scheduled/Released,,0,2,
74761-4,,BALA,Regular,FALSE,74761,Regular,4,9,0,10080,P1,BBLED2-SL-640-400-80-30-SO-8-W-UNV-DP-2-CT9(36),25/10/2018,133.227,Scheduled/Released,,Picked - Complete,,,FALSE,,A - Regular,4,9,36,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,2.22045,2:01:14,14.803,1120,9,133.23,10080.00,,- ,- ,Scheduled/Released,,0,9,
74754-1,,BALA,Regular,FALSE,74754,Regular,1,10,0,2500,L3,DAYFLED-22-4000-80-35-SO-W-UNV-DP-1-TB15,25/10/2018,29.35,Scheduled/Released,,,,,FALSE,,A - Regular,10,10,10,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.489166667,0:29:21,2.935,250,10,29.35,2500.00,,- ,- ,Scheduled/Released,,0,10,
74754-2,,BALA,Regular,FALSE,74754,Regular,2,6,0,4107,L2,BMRLED-750-80-35-ASO-2-W-UNV-DP-1-TB15,25/10/2018,17.502,Scheduled/Released,,,,,FALSE,,A - Regular,10,6,6,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.2917,0:17:30,2.917,684.5,6,17.50,4107.00,,- ,- ,Scheduled/Released,,0,6,
73556-1,,BALA,Regular,FALSE,73556,High Priority,1,4,0,2016,F1,SCR-500-80-40-0.5M-8-W-UNV-DP-1-TG15,17/10/2018,21.812,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,12,4,4,,,Picked - Complete,NO,Machine Shop Started,Material,,,1,1,Partial Order,0,FALSE,0,- ,0.363533333,0:19:51,5.453,504,4,21.81,2016.00,,- ,- ,Machine Shop Finished,,0,4,
74751-1,,BALA,Regular,FALSE,74751,Regular,1,1,0,695,L7-10' GRID,BMRLED-700-80-30-ASO-10'-W-UNV-DP-1-TB9,25/10/2018,8.314,Scheduled/Released,,,,,FALSE,,A - Regular,1,1,3,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,0.138566667,0:07:34,8.314,695,1,8.31,695.00,,- ,- ,Scheduled/Released,,0,1,
74751-2,,BALA,Regular,FALSE,74751,Regular,2,2,0,1390,L7-10'-DRY,BMRLED-700-80-30-ASO-10'-AP-UNV-DP-1-D,25/10/2018,16.628,Scheduled/Released,,,,,FALSE,,A - Regular,1,2,6,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.277133333,0:15:08,8.314,695,2,16.63,1390.00,,- ,- ,Scheduled/Released,,0,2,
74751-3,,BALA,Regular,FALSE,74751,Regular,3,2,0,3302,L7-24'-DRY,BMRLED-700-80-30-ASO-24'-AP-UNV-DP-1+E(4)-D,25/10/2018,35.672,Scheduled/Released,,,,,FALSE,,A - Regular,1,4,12,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.594533333,0:32:28,8.918,825.5,4,35.67,3302.00,,- ,- ,Scheduled/Released,,0,4,
74751-4,,BALA,Regular,FALSE,74751,Regular,4,2,0,3564,"L7-26' 6""-DRY","BMRLED-700-80-30-ASO-26' 6""-W-UNV-DP-2-D",25/10/2018,52.99,Scheduled/Released,,,,,FALSE,,A - Regular,1,6,16,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.883166667,0:48:13,8.831666667,594,6,52.99,3564.00,,- ,- ,Scheduled/Released,,0,6,
74751-5,,BALA,Regular,FALSE,74751,Regular,5,2,0,4430,L7-32'-GRID,BMRLED-700-80-30-ASO-32'-AP-UNV-DP-1+E(4)-TB9,25/10/2018,49.082,Scheduled/Released,,,,,FALSE,,A - Regular,1,6,16,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.818033333,0:44:40,8.180333333,738.3333333,6,49.08,4430.00,,- ,- ,Scheduled/Released,,0,6,
74751-6,,BALA,Regular,FALSE,74751,Regular,6,2,0,4430,L7-32'-DRY,BMRLED-700-80-30-ASO-32'-AP-UNV-DP-1+E(4)-D,25/10/2018,49.082,Scheduled/Released,,,,,FALSE,,A - Regular,1,6,16,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.818033333,0:44:40,8.180333333,738.3333333,6,49.08,4430.00,,- ,- ,Scheduled/Released,,0,6,
74744-1,,BALA,Regular,FALSE,74744,Regular,1,8,0,2504,E-4,BMRLED-500-90-30-FL-4-W-UNV-DP-1-TG15,25/10/2018,25.184,Scheduled/Released,,,,,FALSE,,A - Regular,7,8,8,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,0.419733333,0:22:55,3.148,313,8,25.18,2504.00,,- ,- ,Scheduled/Released,,0,8,
74744-2,,BALA,Regular,FALSE,74744,Regular,2,13,0,6110,E-6,BMRLED-500-90-30-FL-6-W-UNV-DP-1-TG15,25/10/2018,79.287,Scheduled/Released,,,,,FALSE,,A - Regular,7,13,13,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,1.32145,1:12:09,6.099,470,13,79.29,6110.00,,- ,- ,Scheduled/Released,,0,13,
74744-3,,BALA,Regular,FALSE,74744,Regular,3,1,0,1900,M,STFD-DSO(22-400)-90-30-AY(2)-BLK-UNV-MD-1-CA(120)-SC,25/10/2018,0,Scheduled/Released,,,,,FALSE,,A - Regular,7,5,5,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0,0:00:00,0,380,5,0.00,1900.00,,- ,- ,Scheduled/Released,,0,5,
74738-1,,BALA,Regular,FALSE,74738,High Priority,1,3,0,4740,L1 20'-1EM,BMRLED-500-90-30-FL-20-W-UNV-DP-1-TG9-B1(BSL310LP),25/10/2018,59.652,Scheduled/Released,MUST SHIP OCT 25TH,,,,FALSE,,A - Regular,1,6,15,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,#REF!,Complete,0,FALSE,0,- ,0.9942,0:54:17,9.942,790,6,59.65,4740.00,,- ,- ,Scheduled/Released,,0,6,
74738-2,,BALA,Regular,FALSE,74738,High Priority,2,3,0,5280,L1 20'-2EM,BMRLED-500-90-30-FL-20-W-UNV-DP-1-TG9-B2(BSL310LP),25/10/2018,72.492,Scheduled/Released,MUST SHIP OCT 25TH,,,,FALSE,,A - Regular,1,6,15,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,1.2082,1:05:58,12.082,880,6,72.49,5280.00,,- ,- ,Scheduled/Released,,0,6,
74738-3,,BALA,Regular,FALSE,74738,High Priority,3,1,0,1020,L1 12'-A,BMRLED-500-90-30-FL-12-W-UNV-DP-1-TG9-B1(BSL310LP),25/10/2018,12.956,Scheduled/Released,MUST SHIP OCT 25TH,,,,FALSE,,A - Regular,1,1,3,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.215933333,0:11:47,12.956,1020,1,12.96,1020.00,,- ,- ,Scheduled/Released,,0,1,
74738-4,,BALA,Regular,FALSE,74738,High Priority,4,1,0,1020,L1 12'-B,BMRLED-500-90-30-FL-12-W-UNV-DP-1-TG9-B1(BSL310LP),25/10/2018,12.956,Scheduled/Released,MUST SHIP OCT 25TH,,,,FALSE,,A - Regular,1,1,3,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,0,#REF!,Complete,0,FALSE,0,- ,0.215933333,0:11:47,12.956,1020,1,12.96,1020.00,,- ,- ,Scheduled/Released,,0,1,
73556-2,,BALA,Regular,FALSE,73556,High Priority,2,4,0,5700,F2,BMPRLED-500-80-40-RG3-14'-W-UNV-DP-1-TG9-TS(1),17/10/2018,53.804,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,12,8,16,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.896733333,0:48:58,6.7255,712.5,8,53.80,5700.00,,- ,- ,Machine Shop Started,,0,8,
74720-1,,BALA,Regular,FALSE,74720,Regular,1,16,0,3392,F5,BBDLED-950-80-35-SO-4-W-UNV-DP-1-CA(36),19/10/2018,86.448,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,16,16,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,1,1,Partial Order,0,FALSE,0,- ,1.4408,1:18:40,5.403,212,16,86.45,3392.00,,- ,- ,Machine Shop Started,,0,16,
74720-2,,BALA,Regular,FALSE,74720,Regular,2,12,0,2544,F5H,BBDLED-950-80-35-SO-4-W-UNV-DP-1-CA(240),19/10/2018,64.836,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,12,12,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,1.0806,0:59:00,5.403,212,12,64.84,2544.00,,- ,- ,Machine Shop Started,,0,12,
74720-3,,BALA,Regular,FALSE,74720,Regular,3,13,0,11024,F6,BBDLED-950-80-35-SO-16-W-UNV-DP-1-CA(240),19/10/2018,195.923,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,26,52,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,3.265383333,2:58:17,7.5355,424,26,195.92,11024.00,,- ,- ,Machine Shop Started,,0,26,
74720-4,,BALA,Regular,FALSE,74720,Regular,4,2,0,1696,F7-16',BBDLED-950-80-35-SO-16-W-UNV-DP-1-CA(36),19/10/2018,30.142,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,4,8,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.502366667,0:27:26,7.5355,424,4,30.14,1696.00,,- ,- ,Machine Shop Started,,0,4,
74720-5,,BALA,Regular,FALSE,74720,Regular,5,3,0,954,F7-6',BBDLED-950-80-35-SO-6-W-UNV-DP-1-CA(36),19/10/2018,25.911,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,3,6,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.43185,0:23:35,8.637,318,3,25.91,954.00,,- ,- ,Machine Shop Started,,0,3,
74720-6,,BALA,Regular,FALSE,74720,Regular,6,19,0,8056,F17-8',BBDLED-950-80-35-SO-8-W-UNV-DP-1-CA(36),19/10/2018,164.103,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,19,38,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,2.73505,2:29:20,8.637,424,19,164.10,8056.00,,- ,- ,Machine Shop Started,,0,19,
74720-7,,BALA,Regular,FALSE,74720,Regular,7,2,0,2120,F18-20',BBDLED-950-80-35-SO-20-W-UNV-DP-1-SA(72),19/10/2018,39.82,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,4,12,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.663666667,0:36:14,9.955,530,4,39.82,2120.00,,- ,- ,Machine Shop Started,,0,4,
74720-8,,BALA,Regular,FALSE,74720,Regular,8,4,0,6784,F19-32',BBDLED-950-80-35-SO-32-W-UNV-DP-1-SA(72),19/10/2018,107.984,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,12,36,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,1.799733333,1:38:16,8.998666667,565.3333333,12,107.98,6784.00,,- ,- ,Machine Shop Started,,0,12,
73450-1,,BALA,Regular,FALSE,73450,Regular,1,8,0,3072,A1,BMRLED-400-80-40-FL-4-W-120-DP-1-TB9,17/10/2018,25.184,Machine Shop Finished,,Picked - Complete,09/10/2018,,FALSE,,A - Regular,12,8,8,,,Picked - Complete,NO,Machine Shop Finished - Incomplete,Material,,,1,#REF!,Complete,0,FALSE,0,- ,0.419733333,0:22:55,3.148,384,8,25.18,3072.00,,- ,- ,Machine Shop Finished,,0,8,
74717-1,,BALA,Regular,FALSE,74717,Regular,1,18,0,4140,FL,DAYFLED-22-4400-80-35-SO-C(ANTIMICROBIAL FINISH)-UNV-DP-1-TB9,19/10/2018,48.564,Scheduled/Released,,,,,FALSE,,A - Regular,10,18,18,,,,NO,Scheduled/Released,Material+lens+CartridgeHousing,,,1,1,Partial Order,0,FALSE,0,- ,0.8094,0:48:34,2.698,230,18,48.56,4140.00,,- ,- ,Scheduled/Released,,0,18,
73450-2,,BALA,Regular,FALSE,73450,Regular,2,2,0,1248,A1E,BMRLED-400-80-40-FL-4-W-120-DP-1+GTD(1)-TB9,17/10/2018,13.928,Machine Shop Finished,,Picked - Complete,10/9/2018,,FALSE,,A - Regular,12,2,2,,,Picked - Complete,NO,Machine Shop Finished - Incomplete,Material,,,0,#REF!,Complete,0,FALSE,0,- ,0.232133333,0:12:40,6.964,624,2,13.93,1248.00,,- ,- ,Machine Shop Finished,,0,2,
73450-3,,BALA,Regular,FALSE,73450,Regular,3,6,0,4608,A2,BMRLED-400-80-40-FL-8-W-120-DP-1-TB9,17/10/2018,36.594,Machine Shop Finished,,Picked - Complete,09/10/2018,,FALSE,,A - Regular,12,6,12,,,Picked - Complete,NO,Machine Shop Finished - Incomplete,Material,,,0,#REF!,Complete,0,FALSE,0,- ,0.6099,0:33:18,6.099,768,6,36.59,4608.00,,- ,- ,Machine Shop Finished,,0,6,
72833-1,,BALA,Regular,FALSE,72833,Regular,1,2,0,1800,1,SCD-500-80-35-FL-4X4-W-UNV-DP-1-CT9(48),17/10/2018,24.38,Machine Shop Started,,Picked - Complete,,,FALSE,,C - Small,12,2,4,,Picked - Complete,,NO,Machine Shop Started,Material+lensHousing,,,1,1,Partial Order,0,FALSE,0,- ,0.406333333,0:22:11,12.19,900,2,24.38,1800.00,,- ,- ,Machine Shop Started,,0,2,
74682-1,,BALA,Regular,FALSE,74682,Regular,1,4,0,8447.4,F1,SCDPAT-SQ-90-500-90-35-0.5M-40-NL-W-UNV-DP-1-CA(144)-C(10'X10' SQ),18/10/2018,169.84,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,32,32,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,1,1,Partial Order,Wrong info. In SD,FALSE,Wrong info. In SD,- ,2.830666667,2:34:33,5.3075,263.98125,32,169.84,8447.40,,- ,- ,Machine Shop Started,,0,32,
74682-2,,BALA,Regular,FALSE,74682,Regular,2,1,0,253.65,F2-6',SCR-500-90-35-FL-6-W-UNV-DP-1-TG9,18/10/2018,6.293,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,1,1,,,Picked - Complete,NO,Machine Shop Started,Material+Cartridge,,,0,1,Partial Order,0,FALSE,0,- ,0.104883333,0:05:44,6.293,253.65,1,6.29,253.65,,- ,- ,Machine Shop Started,,0,1,
74682-3,,BALA,Regular,FALSE,74682,Regular,3,1,0,338.2,F2-8',SCD-500-90-35-0.5M-8-W-UNV-DP-1-CA(144),18/10/2018,6.293,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,1,1,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.104883333,0:05:44,6.293,338.2,1,6.29,338.20,,- ,- ,Machine Shop Started,,0,1,
74682-4,,BALA,Regular,FALSE,74682,Regular,4,1,0,422.75,F2-10',SCD-500-90-35-0.5M-10-W-UNV-DP-1-CA(144),18/10/2018,8.344,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,1,2,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.139066667,0:07:36,8.344,422.75,1,8.34,422.75,,- ,- ,Machine Shop Started,,0,1,
74682-5,,BALA,Regular,FALSE,74682,Regular,5,3,0,1521.9,F2-12',SCD-500-90-35-0.5M-12-W-UNV-DP-1-CA(144),18/10/2018,25.032,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,3,6,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.4172,0:22:47,8.344,507.3,3,25.03,1521.90,,- ,- ,Machine Shop Started,,0,3,
74682-6,,BALA,Regular,FALSE,74682,Regular,6,1,0,1119.1,F2-L,SCDPAT-OPR-90-500-90-35-0.5M-24-NL-W-UNV-DP-1-CA(144)-C(10'X14' L),18/10/2018,18.1,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,3,3,,,Picked - Complete,NO,Machine Shop Started,Material+lens+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.301666667,0:16:28,6.033333333,373.0333333,3,18.10,1119.10,,- ,- ,Machine Shop Started,,0,3,
74682-9,,BALA,Regular,FALSE,74682,Regular,9,1,0,422.75,F3C-10',SCR-500-90-35-2M-10-W-UNV-DP-1-D,18/10/2018,8.344,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,1,2,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.139066667,0:07:36,8.344,422.75,1,8.34,422.75,,- ,- ,Machine Shop Started,,0,1,
74682-10,,BALA,Regular,FALSE,74682,Regular,10,2,0,845.5,F3D-10',SCR-500-90-35-0.5M-10-W-UNV-DP-1-D,18/10/2018,16.688,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,2,4,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.278133333,0:15:11,8.344,422.75,2,16.69,845.50,,- ,- ,Machine Shop Started,,0,2,
74682-11,,BALA,Regular,FALSE,74682,Regular,11,5,0,532,F10-2',SCR-500-90-35-2M-2-W-UNV-DP-1-D,18/10/2018,19.535,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,5,5,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.325583333,0:17:47,3.907,106.4,5,19.54,532.00,,- ,- ,Machine Shop Started,,0,5,
74682-12,,BALA,Regular,FALSE,74682,Regular,12,4,0,509.2,F10-3',SCR-500-90-35-2M-3-W-UNV-DP-1-D,18/10/2018,15.628,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,4,4,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.260466667,0:14:13,3.907,127.3,4,15.63,509.20,,- ,- ,Machine Shop Started,,0,4,
74682-13,,BALA,Regular,FALSE,74682,Regular,13,1,0,152,F10-4',SCR-500-90-35-2M-4-W-UNV-DP-1-D,18/10/2018,3.907,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,1,1,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.065116667,0:03:33,3.907,152,1,3.91,152.00,,- ,- ,Machine Shop Started,,0,1,
74682-14,,BALA,Regular,FALSE,74682,Regular,14,3,0,635.55,F10-5',SCR-500-90-35-2M-5-W-UNV-DP-1-D,18/10/2018,18.879,Machine Shop Started,,Picked - Complete,11/10/2018,,FALSE,,A - Regular,7,3,3,,,Picked - Complete,NO,Machine Shop Started,Material+CartridgeHousing,,,0,1,Partial Order,0,FALSE,0,- ,0.31465,0:17:11,6.293,211.85,3,18.88,635.55,,- ,- ,Machine Shop Started,,0,3,
